"emp_no","last_name","first_name","sex","salary"
"246449","Bultermann","Subbu","F","87084"
"67799","Cools","Pantung","M","48111"
"299898","Janocha","Munehiko","M","63315"
"492723","Sanella","Piyawadee","M","46740"
"411614","Wynblatt","Martins","M","54770"
"252000","Gyimothy","Zhonghui","F","40000"
"259126","Encarnacion","Dines","M","70329"
"42625","Swick","Harngdar","F","55095"
"402202","Pusterhofer","Leni","M","41006"
"62038","Narlikar","Shiv","F","60105"
"14097","Gniady","Khalil","M","70604"
"221689","Harllee","Fayez","F","67589"
"11980","Pews","Yechezkel","M","58241"
"414885","Vecchi","Candido","M","81272"
"246896","Baik","Francoise","F","60075"
"427027","Butner","Patricio","M","40000"
"218042","Berstel","Dharmaraja","M","74213"
"469619","Bennis","Nakhoon","M","47456"
"36372","Conta","Ronghao","F","74338"
"421244","Ladret","Ortrun","F","49644"
"16854","Lindqvist","Vasilis","F","68896"
"295979","Benzaken","Akeno","M","44386"
"467561","Schmittgen","Ekawit","M","64641"
"496161","Stille","Tonny","M","84192"
"272646","Bahr","Youngkon","M","40000"
"293313","Trelles","Dinkar","F","53910"
"11079","Garigliano","Piyush","M","46239"
"282829","Weisert","Kiyokazu","M","60277"
"57730","Leijenhorst","Shuichi","M","93308"
"414400","Dayang","Stella","F","69995"
"82413","McFarlin","Stabislas","M","40000"
"452220","Schahn","Ingemar","M","40000"
"85630","Randt","Gladys","M","71743"
"462013","Bernardeschi","Maik","M","59984"
"423290","Underwood","Geoff","F","41614"
"262519","Knightly","Jamaludin","M","58980"
"209612","Schrooten","Honesty","F","40000"
"201423","Parveen","Phule","M","53903"
"459789","Candan","Paddy","M","59884"
"84577","Garigliano","Satyanarayana","F","40000"
"469432","Reeker","Arlette","M","49255"
"17373","Ponthieu","Shugo","M","63286"
"482398","DuBourdieux","Lillian","F","65658"
"451314","Demizu","Fuqing","M","66188"
"88922","Alpay","Niteen","M","52094"
"480134","Basart","Magdalena","M","40000"
"202995","Strandh","Margareta","F","71247"
"415948","Ashish","Marin","M","40000"
"402841","Barinka","Dayanand","M","43370"
"439346","Takanami","Kellyn","M","67780"
"466414","Wroclawski","Jordanka","M","40000"
"204079","Stentiford","Shigenori","M","67472"
"214156","Rijckaert","Giap","M","62505"
"439171","Crooks","JiYoung","F","53778"
"431693","Billingsley","Shaunak","M","73237"
"19818","Ventosa","Ashish","M","40000"
"452156","Olano","Miomir","M","65852"
"30721","Kulisch","Dzung","F","40000"
"203269","Velardi","Isaac","M","53754"
"222376","Pettey","Yagil","F","40732"
"450325","Bottner","Kiyomitsu","M","70858"
"201752","Cooke","Rance","F","53616"
"408408","Jiafu","Ramzi","M","42802"
"210180","Vural","Jianhua","M","44234"
"274870","Streit","Sudharsan","F","43794"
"268741","Belinskaya","Venkatesan","M","73321"
"39795","Bennis","Toong","M","60836"
"241222","Bahr","Zhongwei","M","100265"
"208110","Hashii","Abdulla","F","63659"
"221838","Asrin","Masami","M","81773"
"55486","Bashian","Bedir","F","79836"
"298466","Breugel","Premal","F","87732"
"273206","Biron","Gennadi","M","40000"
"79988","Beeson","Tsutomu","M","56886"
"239401","Denny","Bernardo","F","40000"
"253156","Peng","Uinam","M","40000"
"241232","Fadgyas","Weijing","F","86604"
"439571","Bazelow","Munir","M","52539"
"207101","Aloisi","Sreenivas","F","48797"
"206757","Zschoche","Mandell","F","49654"
"436920","Maliniak","Aris","M","40887"
"208615","Porotnikoff","Dante","M","63885"
"226582","Serre","Reinhard","M","86736"
"299441","Billawala","Qunsheng","F","65394"
"77989","Conte","Kristina","M","53394"
"224603","Gurbaxani","Hilary","M","66167"
"104705","Tibblin","Irene","F","62379"
"474940","Zirintsis","Bernt","F","65902"
"95048","Asser","Kitty","M","40000"
"89340","Demke","Morris","M","40000"
"437507","Stasinski","Hiroyasu","M","46018"
"70941","Junet","Cedric","F","56945"
"254398","Cincotta","Mototsugu","M","40000"
"428094","Savasere","Poorav","M","51318"
"202663","Legleitner","Mads","M","58604"
"243221","Schauser","Gio","M","40000"
"16276","Turnbull","Basem","M","40000"
"35966","Kornatzky","Jinxi","F","61821"
"54259","Anily","Snehasis","F","53001"
"260839","Ladret","Iara","M","75721"
"44369","Spataro","Aleksander","M","40000"
"55860","Wolniewicz","Vishwani","M","49476"
"109326","Georg","Xiaoqiang","F","50472"
"298033","Verhoeff","Parto","M","101798"
"86261","Thibadeau","Cristinel","M","41449"
"209232","Poupard","Seongbin","F","55928"
"13681","Toyoshima","Kokou","M","40000"
"493160","Chinin","Tze","F","56034"
"415730","Delgrossi","Gadiel","M","40000"
"454999","Denny","Jouko","M","40000"
"82381","Aamodt","Weiyi","M","40847"
"219435","Birnbaum","Zejun","F","59326"
"404630","Talmor","Marsal","M","45429"
"55910","Lanteri","Moti","F","65706"
"440124","Kaiserswerth","Kwangyoen","M","59676"
"249074","Avouris","Kristen","M","51196"
"66846","Wolniewicz","Juyoung","M","40000"
"42881","Wendorf","Stamatina","M","69360"
"63406","Daescu","Phule","M","67507"
"206868","Veldwijk","Tesuya","M","55945"
"456670","Conti","Shuzo","M","51573"
"90251","Olivero","Basil","F","40000"
"248503","Lundstrom","Nikolaos","M","40000"
"487320","Nilsson","Shaw","F","40000"
"207884","Pettit","Teunis","M","40000"
"31270","Yoshimura","Yahiko","M","40000"
"208607","Rajala","Gal","M","81741"
"82368","Hanabata","Hatim","M","40000"
"212101","Merro","Niclas","M","40000"
"103445","Yurov","Unal","M","52785"
"263111","Avouris","Arup","F","48157"
"499225","Dahlbom","Constantijn","M","40000"
"39999","Erez","Uri","F","40000"
"104991","Varley","Nirmal","M","40000"
"494834","Karcich","Debatosh","F","86012"
"247063","Madeira","Frederique","F","57843"
"48996","Gelosh","Navin","M","45007"
"493569","Salvesen","Mikhail","M","57276"
"23495","Chiodo","Jiakeng","F","91671"
"53152","Braccini","Zhaofang","F","40000"
"231084","Perly","Ennio","F","40000"
"400499","Brizzi","Gino","M","40000"
"30483","Gerteisen","Florina","F","40000"
"479046","Rikino","Shin","F","40000"
"218813","Salverda","Xiaoqiu","M","50720"
"206420","Codenie","Mang","M","52271"
"204827","Cusworth","Lijia","M","78940"
"261609","Rosis","Tran","F","54822"
"258138","Bellone","Rimli","M","93439"
"249489","Roisin","Navin","M","62084"
"75164","Versino","Barton","F","40000"
"268838","Jumpertz","Mabry","F","40000"
"200422","Zirintsis","Shaunak","M","71185"
"71967","Casperson","Olivera","M","75924"
"290503","Setiz","Karsten","M","46452"
"279287","Ranum","Uli","M","40000"
"420163","Krupka","Bernice","F","43753"
"204833","Skafidas","Edwin","F","53620"
"420517","Engelmann","Arnould","M","53554"
"220206","Iisaku","Wuxu","M","70430"
"490958","Matzov","Ger","F","40000"
"403699","Muntz","Mrinalini","M","56409"
"454314","Maraist","Yoshinari","M","53494"
"442684","Reinhard","Alair","F","40000"
"225172","Decaestecker","Ekawit","M","42108"
"62161","Zuberek","Yakichi","F","69163"
"42274","Grospietsch","Gal","M","40000"
"101025","Gomatam","Patricia","M","52328"
"54072","Pargas","Khalil","F","58927"
"277453","Basawa","Abdelwaheb","F","40000"
"207160","Herbst","Christoper","F","40000"
"105846","Demos","Moto","F","43975"
"460260","Zweizig","Lillian","M","57256"
"498034","Boyle","Khedija","M","40000"
"402902","Rodier","Aram","F","65313"
"55378","DeMori","Jaihie","M","60334"
"47111","Capobianchi","Yakichi","M","44006"
"57740","Osgood","Georgi","M","67944"
"263221","Cichocki","Aruna","M","50773"
"413720","Madeira","Ramachenga","F","40000"
"27885","Cronau","Ziya","M","40000"
"83597","Llado","Sajjan","M","60964"
"461762","Speer","Yechiam","M","48503"
"472430","Pellegrinelli","Lalit","F","82716"
"57588","Crouzet","Shugo","M","48254"
"400340","Famili","Gio","F","55540"
"414260","Kuhnemann","Sedat","F","47755"
"439365","Sadowsky","Kitty","M","71995"
"254824","Wossner","Along","M","40000"
"20476","Serov","Niranjan","M","82040"
"26581","Weiland","Mansur","M","45414"
"261654","Schach","Uli","F","42965"
"413315","Bellone","Monique","M","76209"
"497061","Bardell","Phuoc","M","42068"
"97311","Aseltine","Nidapan","F","40000"
"85712","Conte","Fumitake","M","63476"
"473793","Serra","Petter","M","40000"
"100179","Showalter","Gennadi","F","73848"
"477975","Capobianchi","Nahum","F","58490"
"209012","Karunanithi","Vasilii","M","40000"
"435335","Rosiles","Gregory","F","40000"
"401837","Berendt","Denis","F","56472"
"438101","Brookman","Fumitake","F","45407"
"268911","Carrera","Randi","M","40000"
"32753","Debuse","Kristen","F","87223"
"476138","Genther","Ioana","M","45460"
"485055","Zyda","Cullen","F","40000"
"41114","Thummel","Petter","M","60729"
"233337","Schneeberger","Eberhardt","F","60768"
"234989","Gide","Arno","M","40000"
"47432","Suppi","Ingemar","F","45215"
"200358","Munke","Lihong","M","63784"
"43607","Herbst","Subhrajyoti","F","40000"
"299803","Biran","Torsten","F","64261"
"48622","Kossowski","Shahab","F","40000"
"490382","Khalil","Becky","F","103847"
"224421","Luit","Evgueni","F","40000"
"433458","Taubman","Vishu","M","40000"
"109975","Marzano","Guenter","F","57501"
"468143","Dalphin","Keung","F","40000"
"251885","Pesch","Danny","M","44924"
"211796","Socorro","Duangkaew","M","66146"
"294337","Scharstein","Jinpo","F","45581"
"20468","Farrar","Arnould","M","46393"
"446664","Butner","Masaru","M","52608"
"53827","Baek","Shan","M","40000"
"449004","Szmurlo","Filipe","F","45394"
"475657","Constantine","Shahid","M","40000"
"407920","Leijenhorst","Quingbo","M","43710"
"219386","Pillow","Aksel","M","69646"
"231401","Biran","Fumino","F","40000"
"80020","Merel","Theron","F","48621"
"236177","Ruther","Masali","F","63107"
"10328","Kawashima","Serenella","M","46286"
"207161","Rattan","Malu","F","40000"
"484214","Chenney","Mansur","M","40000"
"274492","Zeilberger","Malu","M","59356"
"486376","Papsdorf","Yinlin","M","40000"
"273516","Ghazalie","Hilary","M","40000"
"265201","Walstra","Lakshmi","M","40000"
"208581","Colorni","Naftaly","M","40000"
"92972","Ramamoorthy","Marjo","M","41684"
"35654","Millington","Shaowei","M","55486"
"496552","Castellani","Marin","F","40000"
"223975","Kusakabe","Yongmin","M","78467"
"485749","Munck","Hugh","F","40000"
"219539","Daescu","Mingzeng","M","53560"
"229673","Tomescu","Saniya","M","72847"
"493593","Iivonen","Uri","M","58322"
"217027","Brodie","Marit","F","47570"
"70694","Belinskaya","Tesuya","M","82273"
"248771","Lyonns","Kirk","M","40000"
"281202","Cincotta","Prasadram","F","51600"
"206600","Businaro","Karsten","M","40000"
"414022","Katiyar","Byong","F","43509"
"442969","Sgarro","Yoshimitsu","M","45677"
"50461","Wegerle","Susuma","F","40000"
"85216","Rosiles","Ferdinand","F","50873"
"25960","Oskamp","Dietrich","F","50362"
"33953","Hainaut","Fayez","M","42374"
"30198","Arlazarov","Saeed","M","40000"
"472871","Brookman","Kellyn","F","40000"
"445530","Luby","Munir","M","40000"
"30925","Vandervoorde","Randi","F","48556"
"25484","Gruenwald","Fai","F","64246"
"209436","Benaini","Barton","F","63447"
"481113","Parveen","Wanqing","M","40000"
"66013","Swen","Takahito","M","71938"
"44398","Matzat","Shigehito","M","40319"
"29685","Rosin","Lijie","M","45154"
"97461","Suomi","Mart","F","62081"
"62369","Pietrzykowski","Geoffry","M","40000"
"31239","Veccia","Sven","M","40000"
"278823","Besancenot","Deborah","M","57308"
"417547","Sridhar","Ohad","M","56079"
"227633","Itzfeldt","Gian","F","64904"
"20220","Swen","Bedrich","F","48514"
"413237","Koshiba","Serge","M","60580"
"206083","Hebden","Khoa","F","40000"
"428380","Gaughan","Yucai","F","40000"
"26349","Sommen","Along","F","43948"
"475975","Miake","Koldo","M","53681"
"13286","Smailagic","Basem","M","45858"
"410361","Mitina","Jessie","M","40000"
"26805","Langford","Emran","F","40000"
"471326","Wissmann","Jovan","M","40856"
"90050","Pietrzykowski","Berthier","M","53329"
"403295","Werthner","Arunas","M","59989"
"245679","Krupka","Kwan","M","60256"
"498028","Aloisi","Adas","M","76406"
"203224","Crooks","Randi","M","57555"
"38224","Kavvadias","Ottavia","M","40000"
"497441","McAlpine","Oldrich","M","47356"
"211277","Shiratori","Kitty","M","44061"
"252464","Baca","Chaosheng","F","55647"
"207852","Valiente","Saniya","M","50009"
"209295","Bondorf","Jackson","M","40000"
"445674","Gecsei","Ioana","M","52375"
"295508","Zizka","Giap","F","40000"
"274216","Oskamp","Yishay","F","56251"
"494856","Vieri","Arunas","F","40000"
"261923","Zaccaria","Roded","F","40000"
"272423","Chandrasekhar","Geoffrey","F","40000"
"15585","Sudkamp","Sham","M","40000"
"497897","Kavanagh","Sachio","F","56898"
"483993","Yamaashi","Mizuhito","M","48536"
"496107","Shobatake","Vitaly","M","48143"
"428409","DuBourdieux","Mansur","F","40000"
"413886","Erol","Arto","M","51724"
"30626","Ermel","Gererd","M","67756"
"75703","Erman","Kyoichi","M","40000"
"266748","Nitsch","Henk","F","54311"
"410605","Pearson","Nirmal","M","40000"
"267257","Sidhu","Somnath","M","93465"
"285898","Schade","Mihalis","M","93415"
"215854","Leaver","Achilleas","M","58807"
"235252","Zeidenstein","Ortrud","F","83211"
"273843","Beetstra","Arvin","M","41529"
"489356","Burnard","Eckart","F","41451"
"458754","Detkin","Lihong","M","40000"
"409529","Thummel","Cristinel","F","50125"
"250261","Baig","Xuejun","F","40000"
"455684","Herbst","Khosrow","M","40000"
"296095","Dulli","Odysseas","F","60518"
"53561","Leslie","Lijie","F","75867"
"239015","Krichel","Shakhar","M","57104"
"494752","Hiltgen","Atilio","F","62683"
"280448","Aamodt","Theron","M","87465"
"456696","Petersohn","Susumu","F","83469"
"256562","Dechter","Weiyi","M","43092"
"101150","Undy","Patricio","F","68870"
"491549","Docker","Jaihie","M","40000"
"472911","Alameldin","Wonhee","M","77215"
"492126","Joslin","Khoa","F","40000"
