"last_name","first_name","hire_date"
"Cusworth","Eran","11/14/1986"
"Zallocco","Bojan","10/14/1986"
"Demizu","Nevio","5/18/1986"
"Vecchi","Ziva","7/3/1986"
"Speek","Mohit","1/14/1986"
"Speer","Qunsheng","2/13/1986"
"Encarnacion","Dines","8/2/1986"
"Swick","Harngdar","5/28/1986"
"Uhrig","Freyja","12/20/1986"
"Milicic","Zhenhua","8/4/1986"
"Schmezko","Bowen","5/30/1986"
"Munke","Reuven","4/13/1986"
"Domenig","Stabislas","8/4/1986"
"Jumpertz","Juichirou","9/18/1986"
"Ghelli","Juichirou","12/13/1986"
"Georg","Shmuel","11/30/1986"
"Bach","Xiadong","4/29/1986"
"Butterworth","Guangming","10/1/1986"
"Setia","Irene","8/10/1986"
"Swiler","Shuichi","6/8/1986"
"Perez","Terresa","9/12/1986"
"Borovoy","Lidong","5/30/1986"
"Eickenmeyer","Teiji","9/3/1986"
"Kroha","Baocai","10/27/1986"
"Sridhar","Morrie","3/4/1986"
"Speckmann","Taegyun","12/28/1986"
"McFarlin","Stabislas","7/19/1986"
"Ghelli","Apostol","4/7/1986"
"Kuszyk","Khun","6/30/1986"
"Flanders","Conor","2/21/1986"
"Albarhamtoshy","Radhakrishnan","5/7/1986"
"Denna","Shigeu","4/10/1986"
"Frolund","Uta","1/22/1986"
"Kaminger","Zhiwei","7/4/1986"
"Krider","Sven","9/25/1986"
"Vakili","Yannik","11/9/1986"
"Zeilberger","Khatoun","1/31/1986"
"Erva","Fox","5/6/1986"
"Birrer","Huai","3/28/1986"
"Litzler","Kristine","1/9/1986"
"Farrel","Eirik","9/19/1986"
"Levergood","Wayne","5/5/1986"
"Cullers","Chrisa","1/28/1986"
"Perko","Manton","6/18/1986"
"Ratzlaff","Etsuo","1/15/1986"
"Erie","Odysseas","2/6/1986"
"Lambe","Ingmar","10/21/1986"
"Ashish","Marin","7/11/1986"
"Delaune","JiYoung","9/4/1986"
"Sidou","Sandeepan","1/19/1986"
"Leivant","Neven","9/2/1986"
"Hofting","Sarita","7/3/1986"
"Karunanithi","Kolar","12/6/1986"
"Impagliazzo","Shmuel","2/19/1986"
"Delaune","Bedrich","4/6/1986"
"Asser","Susanne","8/5/1986"
"Sommen","Syozo","3/25/1986"
"Ventosa","Ashish","8/14/1986"
"Pollacia","Ingmar","8/21/1986"
"Ramalingam","Shrikanth","3/10/1986"
"Mahnke","Rimli","4/17/1986"
"Chepyzhov","Adib","11/10/1986"
"Kavvadias","Florina","12/14/1986"
"Bottner","Kiyomitsu","11/7/1986"
"Thorelli","Berni","8/5/1986"
"Vilarrasa","Fumiya","6/27/1986"
"Speckmann","Remzi","11/5/1986"
"Middleton","Georgi","11/24/1986"
"Anandan","Zejun","3/19/1986"
"Lipner","Kamakshi","8/17/1986"
"Chaudhuri","Hyuncheol","7/9/1986"
"Kaiser","Chandrasekaran","12/30/1986"
"Bashian","Bedir","10/5/1986"
"Spieker","Takahira","6/5/1986"
"Sgarro","Krassimir","8/4/1986"
"Ghemri","Maya","6/12/1986"
"Dichev","Eishiro","4/29/1986"
"Kambil","Hausi","7/3/1986"
"Clouatre","Feipei","3/5/1986"
"Kuszyk","Susumu","12/12/1986"
"Kulisch","Stein","6/11/1986"
"Lundstrom","Gen","5/29/1986"
"Serre","Reinhard","7/14/1986"
"Fujisaki","Alain","4/7/1986"
"Dratva","Alain","4/23/1986"
"Spieker","Claudi","4/23/1986"
"Ebeling","Dulce","3/18/1986"
"Perri","Jayson","3/23/1986"
"Hofman","Steen","10/8/1986"
"Legleitner","Mads","7/11/1986"
"Schauser","Gio","10/23/1986"
"Beznosov","Takanari","6/10/1986"
"Dichev","Gita","11/1/1986"
"Mamelak","Barna","1/17/1986"
"Sinitsyn","Junsik","11/21/1986"
"Anily","Snehasis","3/3/1986"
"Schwartzbauer","Behnaam","10/17/1986"
"Petersohn","Shem","7/8/1986"
"Chiodo","Mokhtar","4/6/1986"
"Streit","Serif","3/17/1986"
"Marrakchi","Teiji","8/26/1986"
"Denny","Nathan","9/16/1986"
"Giaccio","Hauke","12/12/1986"
"Baik","Aral","3/29/1986"
"Poupard","Seongbin","9/29/1986"
"Chinin","Tze","9/22/1986"
"Terkki","Joydip","3/1/1986"
"Zlotek","Jeanne","9/3/1986"
"Karner","Mikhail","5/15/1986"
"Schneeberger","Guenter","4/20/1986"
"Mukaidono","Boriana","8/27/1986"
"Avouris","Kristen","9/13/1986"
"Copas","Insup","1/3/1986"
"Wuwongse","Mayumi","11/20/1986"
"Riesenhuber","Dipankar","11/25/1986"
"Syrzycki","Shichao","1/10/1986"
"Sidje","Marin","10/24/1986"
"Luks","Boguslaw","5/7/1986"
"Kieras","Shigeu","1/30/1986"
"Kobuchi","Isamu","2/2/1986"
"Sgarro","Xuedong","12/24/1986"
"Walston","Ghassan","6/15/1986"
"Karunanithi","Armond","11/13/1986"
"Beznosov","Munehiko","1/3/1986"
"Salverda","Kristen","7/29/1986"
"Valiente","Kwok","12/30/1986"
"Salvesen","Mikhail","8/9/1986"
"Usery","Jaques","1/11/1986"
"Legleitner","Gunilla","11/15/1986"
"Dayang","Ibibia","1/29/1986"
"Godskesen","Richard","3/22/1986"
